Item Type,title,year,issue_date,publisher,address,volume,number,url,doi,abstract,journal,month,articleno,numpages,keywords,Authors,isbn,booktitle,pages,location,series,issn
inproceedings,DomAIn: Towards Programless Smart Homes,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3722570.3726888,10.1145/3722570.3726888,"We are far from the full adoption of smart home technologies, let alone realizing truly intelligent homes. There are many barriers preventing homeowners from fully adopting smart home technologies, chief among them being their low perceived usefulness (PU) and perceived ease of use (PEoU). Current smart home ecosystems and frameworks only support simple triggers and require homeowners to specify step-by-step logic or purchase new devices to automate new tasks, which severely limits the PU and PEoU of these technologies. We propose DomAIn, a smart home platform that automatically generates, programs, and deploys logic to satisfy a wide range of home-based tasks based on available devices in the home environment, without requiring users to manually ""program"" any logic. We demonstrate through real deployments and user studies that by incorporating DomAIn, a platform that reduces the need for users to program logic, we can significantly improve a variety of factors that affect PU and PEoU, such as customizability and complexity, by up to 38%, as well as satisfy a diverse range of tasks in home scenarios.",,,,6,"human-centered computing, smart home, task automation, usability, user study","Sui, Yueyuan; Zhang, Yiting; Liu, Yanchen; Zhao, Minghui; Hou, Kaiyuan; Nie, Jingping; Jiang, Xiaofan; Xia, Stephen",9798400716096,"Proceedings of the 3rd International Workshop on Human-Centered Sensing, Modeling, and Intelligent Systems",7–12,"Irvine, CA, USA",HumanSys '25,
inproceedings,“I hope I never need one”: Unpacking Stigma in Aging in Place Technology,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3491102.3517586,10.1145/3491102.3517586,"Aging in place technologies are designed to extend independence and autonomy in older adults, promoting quality of life and peace of mind. Prior work has described how adoption and continued use of these technologies are low when they are perceived as reinforcing aging stigma or reminding older adults of negative aspects of aging. Building on past research, we investigate older adults’ perceptions of four different kinds of aging in place technologies. Based on in-depth interviews with 18 older adults using a set of scenarios, we describe how different design characteristics contribute to perceived aging stigma. Additionally, we draw on Duner &amp; Nordstr\""{o}m’s classification of coping strategies to discuss how specific kinds of technology can best support older adults during different stages of the aging process.",,,264,12,"aging in place, older adults, stigma","Caldeira, Clara; Nurain, Novia; Connelly, Kay",9781450391573,Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,,"New Orleans, LA, USA",CHI '22,
inproceedings,Smart toilet seat configuration for more autonomy using an AI-based 3D depth sensor,2021,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3453892.3464895,10.1145/3453892.3464895,Difficulties with appropriate access to public or semi-public toilets for older or disabled people lead to less participation in social activities within this group. We present a smart AI-based toilet concept that uses 3D depth data to automatically pre-configure the height and tilt of a motorized toilet seat to support standing-up and sitting down without the necessity of user interaction. This has the potential to lead to increased autonomy and quality of life.,,,,2,"smart toilet, privacy protection, pose detection, depth data, artificial intelligence","Lumetzberger, Jennifer; Mayer, Peter; Kampel, Martin; Panek, Paul",9781450387927,Proceedings of the 14th PErvasive Technologies Related to Assistive Environments Conference,111–112,"Corfu, Greece",PETRA '21,
inproceedings,A platform for health emergency warning and wandering behaviour detection supporting people with Intellectual Disability,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3529190.3534773,10.1145/3529190.3534773,"People with intellectual disabilities (ID) encounter several problems in their daily life, regarding the interaction with their environment, the communication with their caregivers and their mobility. Mobile and modern smartwatch applications have great potential to provide early warning for medical emergencies, such as fever, oxygen saturation decline and, recently, Covid-19 disease. Furthermore, such apps can also track their position, if necessary, and even automatically detect wandering behaviour. In this paper, we propose a platform that will be able to a) automatically recognize health emergency situations and/or detection of wandering behaviour based on smartwatch/smartphone sensors, b) provide appropriate notifications to both user and caregiver when needed. The final system is currently developed within a Greek national research project and a pilot implementation will be evaluated by a Greek assistive center for people with ID.",,,,6,"Wearable sensors, Wandering detection, Smart mobile devices, Quality of Life Support System, Intellectual Disability (ID), Health emergency detection","Grammatikopoulou, Athina; Grammalidis, Nikos; Papadogiorgaki, Maria; Zervakis, Michalis",9781450396318,Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments,694–699,"Corfu, Greece",PETRA '22,
inproceedings,Design of a Novel Neural Network Compression Method for Tiny Machine Learning,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3501409.3501526,10.1145/3501409.3501526,"Traditional IoT processing data is sent from local devices to the cloud for processing, which has disadvantages such as low privacy, high latency, and low energy efficiency. These drawbacks can be effectively remedied by deploying the model for processing on devices at the ""edge"" of the cloud. In order to realize the data being processed directly on the cloud ""edge"" devices, the original machine learning algorithms need to be improved. One of the important steps is neural network compression.In this paper, a neural network compression method for Tiny Machine Learning (TinyML) is proposed. The neural network is compressed by training a conventional neural network and then performing group convolution, pruning and asymmetric ternary quantization. In the next step, a model transformation is performed using TFLite to deploy it on embedded devices. With this novel neural network compression method, the size of the model can be greatly compressed with guaranteed accuracy. Consequently, the traditional machine learning is upgraded to TinyML, and finally a TinyML-based fall monitoring system for the elderly is built.",,,,5,"Compression Neural Networks, Fall Monitoring, Tiny Machine Learning","Li, Yingling; Li, Zhipeng; Zhang, Tianxing; Zhou, Peng; Feng, Siyin; Yin, Kunqin",9781450384322,Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering,647–651,"Xiamen, China",EITCE '21,
inproceedings,"Development Status of Medical Nursing Robots: Focused on Flexiblility, Autonomous Mobility, and Non-contact Physical Signs Monitoring",2021,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3500931.3500964,10.1145/3500931.3500964,"With the aging population, fewer children accelerated the urbanization process, and its interpenetrating influence, the issue of patient companionship is gradually becoming a problem in the medical process. Meanwhile, the development of digital healthcare, including medical robots, has laid a huge market foundation for medical nursing robots. Meanwhile, there are some bottlenecks and deficiencies in the technology of medical care robots. The research in theoretically oriented universities and the commercialization and promotion in related companies fail to dovetail well. This paper firstly summarizes the current classification of nursing robots by combing the historical development of nursing robot technology. Secondly, based on the analysis of existing research literature, the technical bottlenecks of nursing robots and the urgency of developing related technologies are presented, mainly including robot movement methods, flexible robot arms, action recognition, intelligent dialogue, and non-contact sign monitoring. And robotics ethics are discussed. Finally, based on the discussion of the technologies, the design of functions, and the planning of application scenarios, an ideal model of a nursing robot is proposed, and a summary and outlook are given.",,,,10,"Non-contact Physical Signs Monitoring, Medical Nursing Robots, Flexiblility, Autonomous Mobility","Guo, Xuechen",9781450395588,Proceedings of the 2nd International Symposium on Artificial Intelligence for Medicine Sciences,178–187,"Beijing, China",ISAIMS '21,
inproceedings,Overview of Smart Home Security with Raspberry,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3700706.3700733,10.1145/3700706.3700733,"In the realm of the Internet of Things (IoT), the term ""smart"" signifies networks of devices engineered to simplify human life, despite lacking inherent intelligence. These smart applications extend from homes to offices and entire cities, with Internet connectivity as a common but not mandatory feature, especially in residential or office settings. Building upon the prevalent technologies in smart homes and cities, this paper narrows its focus to analyze the applications of Raspberry Pi (RPi) devices. While an exhaustive examination of all RPi applications within the broader context of smart technologies is impractical, the paper centers specifically on Smart Home (SH) security applications. The paper analyzes the papers using traditional and bibliographic network analysis. By analyzing the existing papers, it was found that Raspberry Pi's primary applications in Smart Home Security focus on intrusion detection, surveillance, fire detection, and aiding the elderly, emphasizing its cost-effectiveness. Two security considerations arise: the first involves the security of smart home systems, covering attacks, cryptography, authentication, blockchain, cloud, network security, and privacy; the second leverages smart homes for security, including face recognition, intruder detection, solutions for the elderly, real-time systems, cloud services, communication protocols (mostly MQTT), cost-effective system development, and mobile technologies.",,,,7,"Internet of things security, Raspberry Pi, bibliographic network analysis, smart home security","Novak, Matija; Picek, Ruben; Andro\v{c}ec, Darko",9798400717567,Proceedings of the 2024 7th International Conference on Information Science and Systems,163–169,,ICISS '24,
inproceedings,"“I can't swing a cat in here”: Towards Smart, Accessible Homes for People with Paraplegia",2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3715336.3735742,10.1145/3715336.3735742,"Designing smart and accessible homes for persons with paraplegia (PwP) requires a holistic approach that goes beyond technological innovations. In this paper, we aim to examine how future smart, AI-enabled tools can co-exist with physical and structural constraints of homes that PwP currently live in. Using an in-situ, semi-structured interview process, aided by a set of concept arts that show futuristic household technologies, we engaged with 14 PwP and four carers to understand how accessibility can be supported. Our findings show that 1) built environments, 2) self-care tools, and 3) social elements play an important role in supporting accessible living experiences. Based on the findings, we argue that a more holistic view on accessibility is required, as it is impossible to think about domestic accessible technologies without considering the physical and structural aspects of housing. We present implications to provide home accessibility through technological support and develop the notion of situated accessibility in the context of smart, accessible housing.",,,,13,"Accessible Homes, Paraplegia, Situated Accessibility","Vyas, Dhaval; Shipankar, Shivam",9798400714856,Proceedings of the 2025 ACM Designing Interactive Systems Conference,856–868,,DIS '25,
inproceedings,Design of Intelligent Monitoring System for the Life Safety of the Eldly,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3495018.3495069,10.1145/3495018.3495069,"In order to solve the problems in elderly care service such as elderly health and safety monitoring difficulties caused by the aging of the population, based on the Internet of Things architecture, with the help of Internet of Things technologies such as sensor networks, embedded development, cloud computing and big data technology, a set of intelligent vital signs and safety monitoring system is designed for the elderly. The system uses a parallel ARM processor as the core, uses GPS, MEMS, cameras, and heart rate and blood oxygen sensors to combine functions such as vital signs collection, safety information monitoring, network data communication, intelligent gesture recognition, cloud visualization. At the same time, the system introduces intelligent algorithms to autonomously identify and judge the vital characteristics and safety information of the elderly based on reasonable preset thresholds. Experimental results show that the intelligent monitoring system for the life safety of the elderly designed in this paper can monitor vital signs and safety information around the clock, and can accurately monitor safety abnormal events and provide real-time alarms on the cloud and locality.",,,,5,,"Yin, Tingting; Yang, Zhong; Wu, Youlong",9781450385046,2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture,299–303,"Manchester, United Kingdom",AIAM2021,
article,WiLife: Long-Term Daily Status Monitoring and Habit Mining of the Elderly Leveraging Ubiquitous Wi-Fi Signals,2025,January 2025,Association for Computing Machinery,"New York, NY, USA",6,1,https://doi.org/10.1145/3689373,10.1145/3689373,"The global aging demographic underscores the imperative for continuous in-home monitoring of the empty-nest elderly, ensuring their safety and well-being. The widespread deployment of Wi-Fi infrastructure has paved the way to monitor the elderly in a non-intrusive and privacy-preserving manner. Numerous studies have explored the potential of utilizing Wi-Fi signals to address urgent life safety concerns such as fall detection and vital sign monitoring. However, apart from these acute safety issues, the early detection of potential disease symptoms and managing the progression of chronic diseases are also crucial for elderly care, which calls for long-term and continuous monitoring of the elderly’s daily routines. Unfortunately, challenges like continuous activity segmentation and location/orientation dependencies have hindered the implementation of a long-term, around-the-clock activity monitoring system for the elderly. This work introduces “WiLife,” a cutting-edge Wi-Fi-based framework for continuous monitoring of the elderly’s spatio-temporal daily status information. Specifically, WiLife adopts a strategy of partitioning living spaces into functional areas and categorizing daily activities into atomic states. By encapsulating daily life status into a unique series of triple unit format: (leftlangletextit{Time, Area, State}rightrangle) , WiLife is able to offer valuable insights into when, where, and how activities occur. Field implementations spanning 1,080 hours (45 days (times) 24 hours) in real-world home environments highlight WiLife’s exceptional capability in understanding individual living habits and timely detection of irregularities.",ACM Trans. Comput. Healthcare,January,10,29,"Wi-Fi, Wireless sensing, health monitoring, elderly care","Li, Shengjie; Liu, Zhaopeng; Lv, Qin; Zou, Yanyan; Zhang, Yue; Zhang, Daqing",,,,,,
inproceedings,Smart room for patient monitoring based on IoT technologies,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3639592.3639630,10.1145/3639592.3639630,"This article presents a method for building a hospital room with extended intelligent features based on Internet of Things (IoT) technologies. We begin by reviewing existing vision-based health care systems and identifying important and useful functions that they should have. We then present a method for building a smart room that allows increase the level of the intelligence of the existing hospital rooms due to extensive use of the up-to-date machine learning methods. The proposed solution assumes using readily available hardware devices to reduce the cost of smart room building. Compared to commercially available assistive technologies, the proposed smart room turn out to have high level of intelligence and to be very cost effective. The system's non-intrusive nature makes it easy to use it both in hospitals and at home for patient care.",,,,8,"Internet of Things, IoT, automation in medicine, intellectual room, machine learning, smart room, smart ward","Zhukova, Nataly; Motienko, Anna; Levonevskiy, Dmitriy; Subbotin, Alexey; Anh, Pham",9798400716225,Proceedings of the 2023 6th Artificial Intelligence and Cloud Computing Conference,151–158,"Kyoto, Japan",AICCC '23,
article,Exploring the Landscape of Ubiquitous In-home Health Monitoring: A Comprehensive Survey,2024,October 2024,Association for Computing Machinery,"New York, NY, USA",5,4,https://doi.org/10.1145/3670854,10.1145/3670854,"Ubiquitous in-home health monitoring systems have become popular in recent years due to the rise of digital health technologies and the growing demand for remote health monitoring. These systems enable individuals to increase their independence by allowing them to monitor their health from the home and by allowing more control over their well-being. In this study, we perform a comprehensive survey on this topic by reviewing a large number of literature in the area. We investigate these systems from various aspects, namely sensing technologies, communication technologies, intelligent and computing systems, and application areas. Specifically, we provide an overview of in-home health monitoring systems and identify their main components. We then present each component and discuss its role within in-home health monitoring systems. In addition, we provide an overview of the practical use of ubiquitous technologies in the home for health monitoring. Finally, we identify the main challenges and limitations based on the existing literature and provide eight recommendations for potential future research directions toward the development of in-home health monitoring systems. We conclude that despite extensive research on various components needed for the development of effective in-home health monitoring systems, the development of effective in-home health monitoring systems still requires further investigation.",ACM Trans. Comput. Healthcare,October,19,43,"In-home monitoring, healthcare, ubiquitous computing, ambient intelligence, sensor technologies, Deep learning, internet of things","Pourpanah, Farhad; Etemad, Ali",,,,,,
inproceedings,Research on Human Posture Recognition System Using Wireless Signals Based on Deep Neural Networks,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3708282.3708294,10.1145/3708282.3708294,"In recent years, the rapid development of applications such as smart homes and health monitoring has led to a gradual increase in research interest in the use of wireless signals for non-contact human posture recognition. In this study, a human posture recognition system based on wireless signals and a deep neural network was proposed. This system was designed to accurately recognize different postures by analyzing the perturbation characteristics of wireless signals during movement. In particular, the system initially generates signal timing data by acquiring reflection and scattering information from wireless signals (such as Wi-Fi). It then employs signal pre-processing technology to eliminate environmental noise. Subsequently, a deep neural network model was designed to extract high-dimensional features from the signals. The model structure employed a long short-term memory network (LSTM) to capture the change patterns of human actions in the spatiotemporal dimension. The network is trained on a substantial corpus of annotated data, which enables it to learn intricate mapping relationships between attitude and signal alterations. The experimental results demonstrate that the system exhibits high accuracy in a multitude of complex environments, particularly in non-line-of-sight (NLOS) scenarios.",,,,5,"Deep neural network, Human posture recognition, Intelligent environment, Non-contact monitoring, Wireless signal","Su, Lin; Lu, Houda; Zhang, Jiahui",9798400709869,Proceedings of the 2024 International Conference on Artificial Intelligence of Things and Computing,60–64,,AITC '24,
inproceedings,Preserving Privacy of Vulnerable Users across Heterogeneous Sensitive Sensor Data Streams using Smart Contracts,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3628354.3629532,10.1145/3628354.3629532,"This paper is concerned with helping people who are vulnerable during important transitions in life, such as 'coming out' as LGBTQIA+, experiencing serious illness, undergoing relationship breakdown etc. Rich sensor streams derived from so-called 'smart' Internet of Things (IoT) devices can be highly beneficial, for example in ensuring the safety of such individuals during their sensitive life transitions, or in providing functionality that can mitigate some of the difficulties faced by them. However, the data that needs to be extracted to provide these benefits can itself be highly sensitive and needs to be processed with safeguards to protect privacy. We develop scenarios that highlight issues arising from having to merge data streams from multiple devices, including data governance issues that are relevant when the sensors are owned by multiple individuals. We propose a ""Transition Guardian"" architecture that leverages ""Smart Experts"" written as smart contracts operating on homomorphically encrypted sensor data streams to provide real-time protection without disclosing their sensitive information. We have also implemented a proof-of-concept on the Ethereum protocol to validate our proposed solution.",,,,7,"Blockchain, Privacy, Smart Contracts, Transition Guardian, Vulnerable Population","Desai, Nidhi; Maesa, Damiano; Sastry, Nishanth; Schneider, Steve; Ricci, Laura",9798400704390,Proceedings of the Fifth ACM International Workshop on Blockchain-Enabled Networked Sensor Systems,2–8,"Istanbul, Turkiye",BlockSys '23,
article,Unremarkable to Remarkable AI Agent: Exploring Boundaries of Agent Intervention for Adults With and Without Cognitive Impairment,2025,May 2025,Association for Computing Machinery,"New York, NY, USA",9,2,https://doi.org/10.1145/3711098,10.1145/3711098,"As the population of older adults increases, there is a growing need for support for them to age in place. This is exacerbated by the growing number of individuals struggling with cognitive decline and shrinking number of youth who provide care for them. Artificially intelligent agents could provide cognitive support to older adults experiencing memory problems, and they could help informal caregivers with coordination tasks. To better understand this possible future, we conducted a speed dating with storyboards study to reveal invisible social boundaries that might keep older adults and their caregivers from accepting and using agents. We found that healthy older adults worry that accepting agents into their homes might increase their chances of developing dementia. At the same time, they want immediate access to agents that know them well if they should experience cognitive decline. Older adults in the early stages of cognitive decline expressed a desire for agents that can ease the burden they saw themselves becoming for their caregivers. They also speculated that an agent who really knew them well might be an effective advocate for their needs when they were less able to advocate for themselves. That is, the agent may need to transition from being unremarkable to remarkable. Based on these findings, we present design opportunities and considerations for agents and articulate directions of future research.",Proc. ACM Hum.-Comput. Interact.,May,CSCW200,26,"aging in place, ai agents, design research methods, health-wellbeing, interaction design, older adults, speed dating","Chang, Mai; Reig, Samantha; Lee, Alicia; Huang, Anna; Sim\~{a}o, Hugo; Han, Nara; Khanuja, Neeta; Mohammad, Abdullah; Martinez, Rebekah; Zimmerman, John; Forlizzi, Jodi; Steinfeld, Aaron",,,,,,
inproceedings,Poster Abstract: Light-Weight Real-Time Senior Safety Monitoring using Digital Twins,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3576842.3589163,10.1145/3576842.3589163,"The unprecedented increase in the aging population has brought more and more concerns and challenges to meet the compelling need for seniors’ safety protection as they may be at risk of falling, injuries, and medical emergencies. The raising digital healthcare services (DHS) leveraging the Internet of Medical Things (IoMT) are promising to enable solutions. The combination of IoMT and Digital Twins (DT) technologies creates a virtual replica of a physical DHS system. Inspired by many attractive features of DTs, we propose to support real-time senior safety monitoring services utilizing the seniors’ activity and environment data collected by pervasively deployed IoMT sensors and the logical twins created in the virtual space. This poster reports our ongoing effort, introducing the proposed system architecture and some preliminary results that validated the feasibility to serve the design goal for real-time monitoring, instant anomaly detection, and timely alerting.",,,,2,"Digital Twins, IoMT, Senior Safety Monitoring.","Qu, Qian; Sun, Han; Chen, Yu",9798400700378,Proceedings of the 8th ACM/IEEE Conference on Internet of Things Design and Implementation,450–451,"San Antonio, TX, USA",IoTDI '23,
inproceedings,Elderly Smart Home Development Research and Design Exploration,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3644116.3644231,10.1145/3644116.3644231,"The current research status of smart home for the elderly is sorted out, current research directions and cutting-edge technologies used are summarized, and the future development direction of smart home for the elderly in China is speculated. The research analysis shows that the current research on smart home for the elderly focuses on four aspects, namely, home care and health monitoring, daily life assistance, interaction design and user acceptance research, and integrates technologies such as virtual reality and blockchain into it, so that the elderly can experience the convenience that smart technology brings to aging at home. Based on the current situation that the research on smart home for the elderly in China focuses on the level of design innovation and theoretical research, it is proposed that Based on the current situation that the research on smart home for the elderly in China focuses on design innovation and theoretical research, it is proposed that the future research on smart home for the elderly should develop in the direction of designing the system to adapt to aging and improving the economy of the product, improving the acceptance and safety of the product, and paying attention to the physiological health and psychological health of users.",,,,6,,"Xue, Yanmin; Shi, Yuting",9798400708138,Proceedings of the 2023 4th International Symposium on Artificial Intelligence for Medicine Science,694–699,"Chengdu, China",ISAIMS '23,
inproceedings,Wearable Activity Trackers Supporting Elderly Living Independently: A Standards based Approach for Data Integration to Health Information Systems,2018,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3218585.3218679,10.1145/3218585.3218679,"Preserving independence is of high importance for aging adults. Information Technology based solutions in the context of ""elderly living independently"" and ""ambient assisted living"" provide support to increase factors like emotional security, physical activity and general well-being. It is expected that wearable activity trackers positively influence these factors. Hence, this work investigated the integration of wearable activity trackers into medical IT systems from the perspective of technical interoperability, as this is a key feature to improve quality and reliability of both the system itself and the health related data. Based on a previously conducted market analysis, investigating the most prominent wearable activity trackers on their communication interfaces, an medical interoperability standards based approach for data integration to medical information systems was proposed and prototypically implemented to study feasibility. The prototype was successfully validated with interoperability tests against the specification of HL7 FHIR to align with the Personal Connected Health Alliance (PCHA) guidelines. The results showed that the implementation of the interoperability standard HL7 FHIR for this purpose was possible and could be used as an approach to integrate several manufacturer independent wearable activity trackers in a common system to increase flexibility and extensibility. The quality of the data can be increased as it is syntactically and semantically structured according to the HL7 FHIR specification, which may facilitate more reliable approaches for automated fall detection or emergency alarms as a follow-up. However, to fulfill the requirements of semantical interoperability a value-set was defined. Summarizing, without change of thinking and more effort on the manufacturers side to change proprietary communication interfaces (which still is the case to a very high degree) to standardized ones, the advantages based on using interoperability standards can't be effective.",,,,8,"eHealth, Wearable Activity Tracker, Personal Health Record, Personal Health Devices, Interoperability, Health Information Exchange, Elderly Living Independently","Urbauer, Philipp; Frohner, Matthias; David, Veronika; Sauermann, Stefan",9781450364676,Proceedings of the 8th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-Exclusion,302–309,"Thessaloniki, Greece",DSAI '18,
inproceedings,Design and implementation of intelligent security monitoring system based on RPA+AI,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3650400.3650645,10.1145/3650400.3650645,"RPA+AI is a combination of RPA technology and AI technology. Experts have long predicted that the relationship between RPA and AI is the same as the relationship between human hands and feet and brain, with RPA being the hands and feet associated with ""hands"" and AI being the brain associated with ""thinking"" and ""learning."" With the development of science and technology, surveillance cameras have been applied to every corner of life, especially in the construction of Hainan free trade port, the application of monitoring system is more and more extensive. However, the rapid development of surveillance cameras has also brought many problems, for example: the number of surveillance cameras in businesses or schools can reach hundreds. When there is a problem and you want to view the playback of the monitoring, it is not only time-consuming and laborious, but also easy to produce visual fatigue. There are many such application scenarios, all of which, to varying degrees, require manual handling of tedious process work. This paper focuses on the deployment of RPA robots in these application scenarios. By cooperating with artificial intelligence, replacing the repetitive and monotonous screening and search work in the monitoring system, human error can be reduced to a certain extent, operating efficiency can be improved, and operating costs can be reduced. This paper takes traditional camera intelligence as an example, based on RPA, AI and machine vision technology, studies how to apply machine vision technology to traditional surveillance cameras, transform traditional surveillance cameras into intelligent surveillance cameras, and make effective information retrieval more convenient.",,,,8,,"Shi, Jinmei; Ye, Peng; Feng, Junying; Zhao, Qingcheng",9798400708305,Proceedings of the 2023 7th International Conference on Electronic Information Technology and Computer Engineering,1459–1466,"Xiamen, China",EITCE '23,
inproceedings,Personnel status detection model suitable for vertical federated learning structure,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3523150.3523166,10.1145/3523150.3523166,"With the improvement of the medical system, the universal access of wearable devices and people's greater concern about personal health, personnel health detection has received greater attention. However, existing personnel status detection faces the problem that existing models cannot get more accurate results by multiple types of data because the data is difficult to obtain across domains due to privacy issue. In this paper, we propose a vertical federated learning model for person status detection using multimodal data. Considering the varying compute capability of training devices and the different inference speed caused by modality complexity, a lightweight feature extraction sub-model is used, while ensuring data privacy and tolerating accuracy degradation. Also, we design a Fast and Secure (FS) module that effectively reduces the amount of data onto the network transmission process, the model's dependence on the network and the risk of data being intercepted by the third party. Experiment results demonstrate the feasibility of multimodal vertical federated learning and the accuracy is increased by 5.6 percentage points compared with unimodal. The FS module reduces the amount of network transmission information by 50% and 48.1% during model use and model training, respectively",,,,7,"Vertical federated learning, Personnel status detection, Multi-modal","Ji, Jie; Yan, Danfeng; Mu, Zhengyang",9781450387477,Proceedings of the 2022 6th International Conference on Machine Learning and Soft Computing,98–104,"Haikou, China",ICMLSC '22,
